Título,Precio_Rango,Ofertas,Pantalla_Tamaño de la pantalla,Pantalla_Tecnología de la pantalla,Pantalla_Luminosidad,Procesador_Procesador,Disco duro_Tipo de disco duro,Gráfica_Salida de vídeo,Conectividad_Lector de tarjetas,Comunicaciones_Versión Bluetooth,Cámara_Función de la cámara,Sonido_Número de altavoces,Alimentación_Batería,Alimentación_Autonomía de la batería,Alimentación_Vatios-hora,Alimentación_Alimentación,Medidas y peso_Material de la carcasa,Medidas y peso_Diseño,Medidas y peso_Profundidad,Medidas y peso_Ancho,Medidas y peso_Peso,Comunicaciones_Estándar wifi,Disco duro_Número de discos duros (instalados),Gráfica_Memoria gráfica,Sistema operativo_Sistema operativo,Sonido_Sistema de altavoces,Pantalla_Formato de imagen,Procesador_Caché,RAM_Memoria RAM,RAM_Tipo de RAM,Disco duro_Capacidad de memoria SSD,Alimentación_Número de celdas,Procesador_Número de núcleos del procesador,Procesador_Frecuencia de reloj,Procesador_Frecuencia turbo máx.,Gráfica_Tipo de memoria gráfica,Gráfica_Tarjeta gráfica,Almacenamiento_Lector óptico,Pantalla_Pantalla,Comunicaciones_Estándar LAN,Tipo,Propiedades de la carcasa_Tipo de caja,Medidas y peso_Alto,Propiedades de la carcasa_Alimentación,Procesador_Zócalo de CPU,Procesador_Número de hilos de ejecución,Procesador_TDP,product_type_group,is_laptop,marca,screen_size_class,screen_width_px,screen_height_px,screen_total_px,screen_resolution_class,SSD_missing,Disco duro_Numero de discos,Comunicaciones_bluetooth,Comunicaciones_lan,Comunicaciones_missing,Comunicaciones_nfc,Comunicaciones_infrarrojos,Comunicaciones_wifidirect,Comunicaciones_ethernet,has_webcam,GPU_missing,has_webcam_from_equipamiento,años_desde_lanzamiento,release_year_missing
"Lenovo ThinkStation P3 Tiny
30H00069GE",2073.64,1,0.0,None,0.0,Intel Core i7,SSD,Other,missing,0.0,missing,0.0,unknown,0.0,0.0,0.0,missing,missing,18.2,3.7,1.25,missing,1,8.0,windows 11 professional,missing,None,33.0,32.0,ddr5,1000.0,0,20.0,0.0021000000000000003,5.0,GDDR6,NVIDIA T Series,ninguno,None,Gigabit Ethernet,Desktop,small_form_factor,17.9,missing,None,28,65.0,Unknown,0,Lenovo,None,None,None,None,None,0,1,1,1,0,0,0,0,1,0,0,0,0,True
"HP Z2 Mini G9 Workstation
865L8ET",1993.37,1,0.0,None,0.0,Intel Core i9,SSD,DisplayPort,missing,0.0,missing,0.0,unknown,0.0,0.0,0.0,missing,missing,21.8,21.1,2.4,missing,1,12.0,windows 11 professional,missing,None,36.0,32.0,ddr5,1000.0,0,24.0,0.0032,5.0,GDDR6,NVIDIA RTX (Workstation),ninguno,None,none,Desktop,missing,6.9,201-400W,None,32,65.0,Desktop – Standard,0,HP,None,None,None,None,None,0,1,0,0,0,0,0,0,1,0,0,0,0,True
"Acer Veriton Essential N2590G
DT.R0EEG.002",545.51,2,0.0,None,0.0,Intel Core i3,SSD,HDMI,missing,0.0,missing,0.0,unknown,0.0,0.0,0.0,missing,missing,17.8,17.8,7.2,missing,1,8.0,windows 11 professional,missing,None,10.0,8.0,ddr4,256.0,0,6.0,0.0012,4.0,Shared,Intel UHD,ninguno,None,Gigabit Ethernet,Desktop,small_form_factor,3.0,0-200W,None,8,15.0,Desktop – Standard,0,Acer,None,None,None,None,None,0,1,1,1,0,0,0,0,1,0,0,0,0,True
"Lenovo LOQ 17IRR9
90X0008CGF",1389.62,1,0.0,None,0.0,Intel Core i5,SSD,HDMI,missing,5.3,missing,0.0,unknown,0.0,0.0,0.0,missing,missing,27.9,17.0,8.0,Wi-Fi 6/6E,1,8.0,windows 11 home,missing,None,20.0,16.0,ddr5,512.0,0,10.0,0.0025,4.0,GDDR6,NVIDIA GeForce RTX 4060 Series,ninguno,None,Gigabit Ethernet,Desktop,torre,37.6,201-400W,Socket 1700,16,65.0,Desktop – Gaming,0,Lenovo,None,None,None,None,None,0,1,1,1,0,0,0,0,1,0,0,0,0,True
"HP M01
M01-F2246nf",795.65,1,0.0,None,0.0,Intel Core i5,SSD,HDMI,missing,4.2,missing,0.0,unknown,0.0,0.0,0.0,missing,missing,30.3,15.5,4.71,missing,1,8.0,windows 11 home,missing,None,18.0,8.0,ddr4,512.0,0,6.0,3.0,4.0,Shared,Intel UHD,ninguno,None,Gigabit Ethernet,Desktop,small_form_factor,33.7,0-200W,None,12,45.0,Desktop – Standard,0,HP,None,None,None,None,None,0,1,1,1,0,0,0,0,1,0,0,0,0,True
"Lenovo ThinkCentre M75s Gen2 SFF
11JB0039FR",1017.26,1,0.0,None,0.0,AMD Ryzen 5,SSD,HDMI,missing,5.0,missing,0.0,unknown,0.0,0.0,0.0,missing,missing,29.0,9.25,5.3,missing,-1,4.5,windows 11 professional,missing,None,8.0,8.0,ddr4,256.0,0,6.0,3.0,4.0,GDDR5,AMD Radeon Other,grabadora DVD,None,Gigabit Ethernet,Desktop,desktop,34.3,201-400W,Socket AM4,12,65.0,Desktop – Standard,0,Lenovo,None,None,None,None,None,0,-1,1,1,0,0,0,0,1,0,0,0,0,True
"HP Z2 SFF G9 Workstation
86C27EA",1329.0,1,0.0,None,0.0,Intel Core i5,SSD,DisplayPort,missing,0.0,missing,0.0,unknown,0.0,0.0,0.0,missing,missing,30.8,38.4,4.2,missing,-1,4.0,windows 11 professional,missing,None,20.0,16.0,ddr5,512.0,0,10.0,0.0025,4.0,GDDR6,Intel UHD,ninguno,None,Gigabit Ethernet,Desktop,small_form_factor,10.0,missing,Socket 1700,16,65.0,Unknown,0,HP,None,None,None,None,None,0,-1,0,1,0,0,0,0,1,0,1,0,0,True
"Acer X2 VX2690G
VX2690g (DT.VWNET.014)",456.76,1,0.0,None,0.0,Intel Core i3,SSD,HDMI,missing,0.0,missing,0.0,unknown,0.0,0.0,0.0,missing,missing,30.7,16.15,7.2,missing,-1,8.0,freedos,missing,None,12.0,8.0,Unknown,256.0,0,4.0,0.0033,3.0,Shared,Intel UHD,ninguno,None,none,Desktop,desktop,30.5,missing,Socket 1700,8,89.0,Desktop – Standard,0,Acer,None,None,None,None,None,0,-1,0,0,0,0,0,0,0,0,1,0,0,True
"Lenovo ThinkStation P3 Tiny
30H00097GE",1974.4,1,0.0,None,0.0,Intel Core i7,SSD,HDMI,missing,0.0,missing,0.0,unknown,0.0,0.0,0.0,missing,missing,18.2,3.7,1.25,missing,1,8.0,windows 11 professional,missing,None,33.0,64.0,ddr5,1000.0,0,20.0,0.0021000000000000003,5.0,Shared,Intel UHD,ninguno,None,Gigabit Ethernet,Desktop,small_form_factor,17.9,201-400W,None,28,65.0,Unknown,0,Lenovo,None,None,None,None,None,0,1,0,1,0,0,0,0,1,0,0,0,0,True
"HP Pro SFF 290 G9
6B2N3EA",597.1,1,0.0,None,0.0,Intel Core i3,SSD,HDMI,missing,0.0,missing,0.0,unknown,0.0,0.0,0.0,missing,missing,30.3,15.5,4.2,missing,1,8.192,windows 11 professional,missing,None,12.0,8.0,ddr4,256.0,0,4.0,0.0033,4.0,Shared,Intel UHD,ninguno,None,Gigabit Ethernet,Desktop,missing,33.7,0-200W,Socket 1700,8,89.0,Desktop – Standard,0,HP,None,None,None,None,None,0,1,0,1,0,0,0,0,1,0,0,0,0,True
"Lenovo ThinkCentre M75q Gen 2 Tiny
11JN009KGE",1043.23,1,0.0,None,0.0,AMD Ryzen 7,SSD,HDMI,missing,5.0,missing,0.0,unknown,0.0,0.0,0.0,missing,missing,18.3,17.9,5.3,missing,1,4.5,windows 11 professional,missing,None,16.0,32.0,ddr4,1000.0,0,8.0,3.0,4.0,GDDR5,AMD Radeon Other,ninguno,None,Gigabit Ethernet,Desktop,small_form_factor,3.7,0-200W,None,16,65.0,Desktop – Standard,0,Lenovo,None,None,None,None,None,0,1,1,1,0,0,0,0,1,0,0,0,0,True
"HP Z2 SFF G9 Workstation
8T1L4EA",3111.99,1,0.0,None,0.0,Intel Core i7,SSD,DisplayPort,missing,0.0,missing,0.0,unknown,0.0,0.0,0.0,missing,missing,30.8,38.4,4.2,missing,1,6.0,windows 11 professional,missing,None,33.0,32.0,ddr5,1000.0,0,20.0,3.0,5.0,GDDR6,NVIDIA RTX (Workstation),ninguno,None,Gigabit Ethernet,Desktop,small_form_factor,10.0,401-600W,None,28,125.0,Unknown,0,HP,None,None,None,None,None,0,1,0,1,0,0,0,0,1,0,0,0,0,True
"Lenovo ThinkStation P3 Tower
30GS00EXGE",2741.83,1,0.0,None,0.0,Intel Core i7,SSD,DisplayPort,integrado,0.0,missing,0.0,unknown,0.0,0.0,0.0,missing,missing,37.0,18.0,5.3,missing,1,16.0,windows 11 professional,missing,None,33.0,32.0,ddr5,1000.0,0,20.0,3.0,5.0,GDDR6,NVIDIA RTX (Workstation),ninguno,None,Gigabit Ethernet,Desktop,torre,41.5,601-800W,None,28,125.0,Desktop – Standard,0,Lenovo,None,None,None,None,None,0,1,0,1,0,0,0,0,1,0,0,0,0,True
